course_title,course_organization,course_certificate_type,course_time,course_rating,course_reviews_num,course_difficulty,course_url,course_students_enrolled,course_skills,course_summary,course_description
"Concepts, Strategies, and Analytics in Performance Marketing and Digital Advertising",University of Colorado Boulder,Specialization,3 - 6 Months,4.6,909,Beginner,https://www.coursera.org/specializations/digital-advertising-strategy,"11,233","['Native Advertising', 'Google Ads Search Advertising', 'Facebook Advertising', 'Search Advertising', 'Twitter Advertising']","['Discover how social networks and human dynamics create social systems and recognizable patterns', 'Define and discuss big data opportunities and limitations', 'Web scrape online data, create a social network visualization with it, and use machine learning to analyze its content  ', 'Use computer simulations to program your own artificial societies to explore business strategies and policy options']","For more information please view the Computational Social Science TrailerOpens in a new tab 
Digital technology has not only revolutionized society, but also the way we can study it. Currently, this is taken advantage of by the most valuable companies in Silicon Valley, the most powerful governmental agencies, and the most influential social movements. What they have in common is that they use computational tools to understand, and ultimately influence human behavior and social dynamics. 
An increasing part of human interaction leaves a massive digital footprint behind. Studying it allows us to gain unprecedented insights into what society is and how it works, including its intricate social networks that had long been obscure. Computational power allows us to detect hidden patterns through analytical tools like machine learning and to natural language processing. Finally, computer simulations enable us to explore hypothetical situations that may not even exist in reality, but that we would like to exist: a better world. 
This specialization serves as a multidisciplinary, multi-perspective, and multi-method guide on how to better understand society and human behavior with modern research tools. This specialization gives you easy access to some of the exciting new  possibilities of how to study society and human behavior. It is the  first online specialization collectively taught by Professors from all  10 University of California campusesOpens in a new tab. 

Applied Learning Project
 While no formal requisites are necessary to join this course, at the end  you will web-scrape 'Big Data' from the web, execute a social network  analysis ('SNA'), find hidden patterns with machine learning ('ML') and  natural language processing ('NLP'), and create agent-based computer  models ('ABM') to explore what might happen if we would change certain  things in society.  
"
Conduct UX Research and Test Early Concepts,Google,Course,1 - 4 Weeks,4.7,1.3k,Beginner,https://www.coursera.org/learn/conduct-ux-research,"105,366","['User Experience (UX)', 'Usability Testing', 'UX Research', 'Prototype', 'User Experience Design (UXD)']",[],"Computational thinking is the process of approaching a problem in a systematic manner and creating and expressing a solution such that it can be carried out by a computer.  But you don't need to be a computer scientist to think like a computer scientist!  In fact, we encourage students from any field of study to take this course.  Many quantitative and data-centric problems can be solved using computational thinking and an understanding of computational thinking will give you a foundation for solving problems that have real-world, social impact.   
In this course, you will learn about the pillars of computational thinking, how computer scientists develop and analyze algorithms, and how solutions can be realized on a computer using the Python programming language.  By the end of the course, you will be able to develop an algorithm and express it to the computer by writing a simple Python program. 

This course will introduce you to people from diverse professions who use computational thinking to solve problems. You will engage with a unique community of analytical thinkers and be encouraged to consider how you can make a positive social impact through computational thinking.
"
Conflict Management,"University of California, Irvine",Specialization,3 - 6 Months,4.8,49,Beginner,https://www.coursera.org/specializations/conflict-management,"3,182","['Active Listening', 'Communication', 'Management', 'Cross-Cultural Communication']","['Use a variety of algorithms to detect & match image features & perform image registration', 'Train image classification & detection models using traditional image features', 'Perform multi-object tracking to count, track, & determine the direction of objects in video files', 'Use deep learning models such as YOLO to perform object detection & compare their size and speed']","Cameras are an integral component in many new technologies. Autonomous systems use cameras to navigate their environment, while doctors use small cameras to help guide minimally invasive surgical techniques. It is essential that engineers use computer vision techniques to extract information from these types of images and videos. 
In this specialization, you’ll gain the computer vision skills underpinning many of today’s top jobs. Specifically, you’ll:  
Perform object detection 
Train image classification models 
Use features to track objects and align images 
Detect motion in video 
Implement multi-object tracking 
You will use MATLAB throughout this specialization.  MATLAB is the go-to choice for millions of people working in engineering and science and provides the capabilities you need to accomplish your computer vision tasks.  You will be provided free access to MATLAB for the duration of the specialization to complete your work.
To be successful in this specialization, it will help to have some prior image processing experience.  If you are new to image data, it’s recommended to first complete the Image Processing for Engineering and ScienceOpens in a new tab specialization. 
Applied Learning Project
In course 1, you will stitch together images from the Mars Curiosity Rover. In course 2, you will train machine learning models to classify traffic signs and detect them in images and video. In course 3, you will use deep learning models to detect objects. You will also apply optical flow to detect moving objects and apply tracking algorithms to track objects as they move in a video.
"
Connect and Protect: Networks and Network Security,Google,Course,1 - 4 Weeks,4.5,647,Beginner,https://www.coursera.org/learn/networks-and-network-security,"26,028","['Cloud Networks', 'Network Security', 'Security Hardening', 'Network Architecture', 'Transmission Control Protocol / Internet Protocol (TCP/IP)']","['Understand the major advertising platforms, including: display, video, audio, sponsored, native, social media, search and programmatic.', 'Execute tailored digital advertising campaigns on: Google Ads (Search), Facebook, Instagram, Twitter and Taboola.', 'Interpret ad performance metrics for most popular advertising types and develop measurement plans for a business given an objective.', 'Earn the Google Ads Search Certification.']","This specialization takes a critical look at digital advertising tactics for small business. Students will learn how to generate and launch ad campaigns on small budgets with limited-to-no design skills. These courses include: 1) search (Google Ads), 2) social media (Facebook, Instagram and Twitter) and 3) native advertising (Taboola). Students who complete our search course will also gain a résumé credential through the official Google Ads Search Certification and a certification through programmatic advertising leader, The Trade Desk.
"
Connected Leadership,Yale University,Course,1 - 3 Months,4.8,4.4k,Beginner,https://www.coursera.org/learn/connected-leadership,"197,629","['Emotional Intelligence', 'Team Building', 'Systems Thinking', 'Leadership And Management', 'Team Management']","['Plan and conduct moderated and unmoderated usability studies. ', 'Synthesize observations from usability studies and come up with insights.', 'Share research methodology and insights using persuasive presentation skills.', 'Modify low-fidelity designs based on research insights.']","Conduct UX Research and Test Early Concepts is the fourth course in a certificate program that will equip you with the skills you need to apply to entry-level jobs in user experience (UX) design. In this course, you will learn how to plan and conduct a usability study to gather feedback about designs. Then, you will modify your low-fidelity designs based on insights from your research. 
Current UX designers and researchers at Google will serve as your instructors, and you will complete hands-on activities that simulate real-world UX design scenarios. Learners who complete the seven courses in this certificate program should be equipped to apply for entry-level jobs as UX designers. 

By the end of this course, you will be able to:
   - Plan a UX research study, including the project background, research goals, research questions, Key Performance Indicators, methodology, participants, and script.
   - Explain the importance of respecting privacy and user data.
   - Conduct a moderated and unmoderated usability study. 
   - Take notes during a usability study. 
   - Create affinity diagrams to group and analyze data. 
   - Synthesize observations from research and come up with insights. 
   - Develop persuasive presentation skills to share research insights.
   - Modify low-fidelity designs based on research insights.
   - Continue to design a mobile app to include in your professional portfolio. 

To be successful in this course, you should complete the previous three courses in the certificate program. Or, you need to have an ability to conduct user research to inform the creation of empathy maps, personas, user stories, user journey maps, problem statements, and value propositions; as well as an ability to create wireframes and low-fidelity prototypes on paper and in Figma.
"
Construction Management,Columbia University,Specialization,3 - 6 Months,4.4,2k,Beginner,https://www.coursera.org/specializations/construction-management,"26,711","['Schedule', 'Cost Estimate', 'Cost Control', 'Finance', 'Real Estate finance']",[],"Master the fundamentals of conflict resolution, harness the power of positive conflict, and hone your intercultural communication skills.  In this Specialization, you’ll learn to strengthen your personal and professional relationships by constructively addressing conflicts between individuals and within organizations. You’ll build skills specifically aimed at managing intercultural conflicts in today’s global society, and you’ll explore how competing interests and goals, power imbalances, and other factors influence the nature of conflict and management strategies. In the final Capstone Project, you’ll analyze a specific conflict and outline an approach to management and resolution.
"
Construction Project Management,Columbia University,Course,1 - 3 Months,4.8,1.8k,Beginner,https://www.coursera.org/learn/construction-project-management,"105,546","['Project Management', 'Construction Management', 'Work Breakdown Structure', 'Project Planning']","['Define the types of networks and components of networks', 'Illustrate how data is sent and received over a network', 'Understand how to secure a network against intrusion tactics', 'Describe system hardening techniques']","This is the third course in the Google Cybersecurity Certificate. These courses will equip you with the skills you need to apply for an entry-level cybersecurity job. You’ll build on your understanding of the topics that were introduced in the second Google Cybersecurity Certificate course.
In this course, you will explore how networks connect multiple devices and allow them to communicate. You'll start with the fundamentals of modern networking operations and protocols. For example, you'll learn about the Transmission Control Protocol / Internet Protocol (TCP/IP) model and how network hardware, like routers and modems, allow your computer to send and receive information on the internet. Then, you'll learn about network security. Organizations often store and send valuable information on their networks, so networks are common targets of cyber attacks. By the end of this course, you'll be able to recognize network-level vulnerabilities, and explain how to secure a network using firewalls, system hardening, and virtual private networks. 

Google employees who currently work in cybersecurity will guide you through videos, provide hands-on activities and examples that simulate common cybersecurity tasks, and help you build your skills to prepare for jobs. 

Learners who complete this certificate will be equipped to apply for entry-level cybersecurity roles. No previous experience is necessary.

By the end of this course, you will: 
- Describe the structure of different computer networks.
- Illustrate how data is sent and received over a network.
- Recognize common network protocols.
- Identify common network security measures and protocols.
- Explain how to secure a network against intrusion tactics.
- Compare and contrast local networks to cloud computing.
- Explain the different types of system hardening techniques.
"
Contabilidad para no contadores,Universidad Nacional Autónoma de México,Course,1 - 3 Months,4.8,238,Beginner,https://www.coursera.org/learn/contabilidad,"41,943","['Financial Accounting', 'Accounting', 'Financial Statement', 'Interpretation']","['Improve your ability to get the most out of life  ', 'Strengthen your leadership toolkit  ', 'Practice and apply systems thinking to plan for change  ']","This course is designed to maximize your ability to create change at the individual, team and system levels. Through study, reflection, and deploying practical tools, you will establish a firm connection between your clearly articulated Purpose, effective Priorities, visualized Potential for success, and pathway to maximized Progress. But, what does that mean in practice? 
When you take this course, you will: 

- Improve your ability to get the most out of life: Learn a simple practice to reflect on your purpose, clarify priorities, visualize your potential, and maximize your effectiveness at progressing towards your goals.

- Strengthen your leadership toolkit: Tap into your unique leadership style and strengths and join or create a community of others to maximize your potential as a team.

- Create change through systems thinking: Become a more effective agent of positive change and appreciate the power and complexity of system thinking.
"
Convolutional Neural Networks,DeepLearning.AI,Course,1 - 4 Weeks,4.7,8k,Intermediate,https://www.coursera.org/learn/convolutional-neural-networks,"52,327","['Deep Learning', 'Facial Recognition System', 'Convolutional Neural Network', 'Tensorflow', 'Object Detection and Segmentation']","['Major construction management fundamentals, key project scheduling techniques, types of cost estimates and monitoring project cash flow']","The Construction Management specialization is curated for professionals in the construction and civil engineering industry looking to advance their careers. Through this specialization, students will gain comprehensive industry knowledge along with the latest trends and development within the industry. This 5-course specialization will cover the major facets of construction management including project initiation and planning, scheduling techniques and procedures, cost estimating and control, and construction project financials. After students complete this specialization, they will have gained significant skills and tools to stay relevant and ahead of the curve in the world of construction management.
This specialization is designed to build on the foundational skills developed in the Google Project Management Professional Certificate; earn a dual credential when you complete a Google Career Certificate and this specialization. 

Applied Learning Project
Real-world projects will be included in each course of the specialization to reinforce the skills being taught. The projects will build on information you have learned in the courses and allow you to add your own research. Projects will be peer-reviewed by your classmates, and you will peer-review the work of others. Instructions on how to conduct peer-reviews will be included in the course. Upon completing the series, you will be able create a work-breakdown structure, build a project schedule, work on a project plan, create a project budget, identify risk, and assign responsibility for those risks.
"
Convolutional Neural Networks in TensorFlow,DeepLearning.AI,Course,1 - 4 Weeks,4.8,6.3k,Intermediate,https://www.coursera.org/learn/convolutional-neural-networks-tensorflow,"122,100","['Inductive Transfer', 'Augmentation', 'Dropouts', 'Machine Learning', 'Tensorflow']","['The fundamentals of construction management from construction industry, the role of project manager, contract types, and project delivery methods ', 'How to delivery lean project and maintina sustainability ', 'Explore technology trends and project planning']","Construction Project Management introduces learners to Project Initiation and Planning. Columbia University professor, Ibrahim Odeh, along with industry experts join together to provide a comprehensive overview of the construction industry. There are 10 modules that allow learners to become knowledgeable of construction management within the dynamic construction industry. 
Professor Odeh teaches learners about the fundamentals of the Project Development Cycle while guest lecturers discuss Lean Project Delivery method and Lean Design Behaviors. Technological advances, such as Building Information Modeling (BIM), will be introduced with real world examples of the uses of BIM during the Lifecycle of the Project. The course concludes with Professor Odeh discussing the importance of project planning and scheduling and an opportunity to develop a Work Breakdown Structure.

By the end of this course, you will be able to:
-Learn about construction management, including an understanding of the construction industry, the role of a project manager, construction contract types, and project delivery methods 
-Explain the fundamental principles to establish Environment, Health and Safety in the construction industry
-Detail the principles and application of sustainability development in construction industry
-Summarize the work breakdown structure (WBS) and estimate the construction activity duration
"
Core Java,LearnQuest,Specialization,3 - 6 Months,4.8,8.6k,Intermediate,https://www.coursera.org/specializations/core-java,"513,150","['Computer Programming', 'Java Programming', 'Web Development']",[],"En este curso, ofrecido por la UNAM, vas a entrar al  fascinante mundo de la contabilidad. Esta técnica te permitirá tomar decisiones en tu vida empresarial, corporativa, personal, profesional y de emprendedor. Entrarás al mundo de la Contabilidad para no Contadores. 
Vas a lograr definir qué es la contabilidad, en qué consiste y cuáles son sus principios fundamentales. También descubrirás su utilidad en tu vida cotidiana y al profesional al que debes recurrir y confiar tu vida contable.  Además, podrás saber qué nos dice la información financiera, qué y cómo debemos leerla y qué decisiones tomar basados en ella.

Prepárate para conocer los principales Estados financieros, sus elementos y su utilidad en tu vida contable.

¡Bienvenid@!
"
Corporate & Commercial Law I: Contracts & Employment Law,University of Illinois at Urbana-Champaign,Course,1 - 3 Months,4.9,41.8k,Intermediate,https://www.coursera.org/learn/corporate-commercial-law-part1,"477,451",[],[],"In the fourth course of the Deep Learning Specialization, you will understand how computer vision has evolved and become familiar with its exciting applications such as autonomous driving, face recognition, reading radiology images, and more.
By the end, you will be able to build a convolutional neural network, including recent variations such as residual networks; apply convolutional networks to visual detection and recognition tasks; and use neural style transfer to generate art and apply these algorithms to a variety of image, video, and other 2D or 3D data. 

The Deep Learning Specialization is our foundational program that will help you understand the capabilities, challenges, and consequences of deep learning and prepare you to participate in the development of leading-edge AI technology. It provides a pathway for you to gain the knowledge and skills to apply machine learning to your work, level up your technical career, and take the definitive step in the world of AI.
"
Corporate Strategy,University of London,Course,1 - 4 Weeks,4.7,7.9k,Beginner,https://www.coursera.org/learn/corporatestrategy,"138,526",[],"['Handle real-world image data', 'Plot loss and accuracy', 'Explore strategies to prevent overfitting, including augmentation and dropout', 'Learn transfer learning and how learned features can be extracted from models']","If you are a software developer who wants to build scalable AI-powered algorithms, you need to understand how to use the tools to build them. This course is part of the upcoming Machine Learning in Tensorflow Specialization and will teach you best practices for using TensorFlow, a popular open-source framework for machine learning.
In Course 2 of the deeplearning.ai TensorFlow Specialization, you will learn advanced techniques to improve the computer vision model you built in Course 1. You will explore how to work with real-world images in different shapes and sizes, visualize the journey of an image through convolutions to understand how a computer “sees” information, plot loss and accuracy, and explore strategies to prevent overfitting, including augmentation and dropout. Finally, Course 2 will introduce you to transfer learning and how learned features can be extracted from models. 

The Machine Learning course and Deep Learning Specialization from Andrew Ng teach the most important and foundational principles of Machine Learning and Deep Learning. This new deeplearning.ai TensorFlow Specialization teaches you how to use TensorFlow to implement those principles so that you can start building and applying scalable models to real-world problems. To develop a deeper understanding of how neural networks work, we recommend that you take the Deep Learning Specialization.
"
Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Università Bocconi,Course,1 - 3 Months,4.6,2.1k,Mixed,https://www.coursera.org/learn/corp-sustainability,"37,488",[],"['Learn the basic syntax and functions of the Java programming language', 'Apply object-oriented programming techniques to building classes, creating objects, and understanding how solutions are packaged in Java.', 'Learn how to implement inheritance and polymorphism in Java.', 'Use selected parts of the vast Java SE class library to enhance your Java programming techniques.']","This Core Java Specialization is part of a series of programming specializations, derived from LearnQuest's private Java Bootcamps, designed to provide the skill set necessary to be hired as an IT developer using Java in many corporate environments.
To be successful in this specialization, we recommend you have an understanding of the fundamentals of software development in any language. LearnQuest offers a beginning programmer specialization that can help you prepare.
In the four courses of this specialization, you’ll quickly master the Java programming language and the packages that constitute its rich set of core libraries. We’ll provide hands-on exercises so you can practice your new skills. 
 In Course 1, we’ll introduce you to the basic fundamentals of the Java language. 
Course 2 provides a refresher on object-oriented programming, and how you can apply OO to Java. We’ll introduce Java classes, instances and packaging.
By the time you get to course 3, you’ll be ready to go deeper into applying OOP concepts in Java, including inheritance and polymorphism.
In course 4 you’ll learn how to use selected parts of the Java SE Class LIbrary, including Generics, Collections, Java Streams, I/O, Exceptions, Annotations and Enums.
While we'll touch on other important Java topics, such as database connectivity, Java EE and Spring, those topics are covered in greater detail in other LearnQuest Java Specializations. 
Applied Learning Project
Throughout the specialization, you will complete hands-on labs to gain experience following the lessons taught in this course.  You will learn to use the Eclipse environment to create Java projects to work in.  You will use these projects to help develop skills in working with Java data types, and control of the flow of your programs, objects, methods, classes and interfaces.  Skills that you will practice in these projects will help you in implementing polymorphism, including calculator (math) functions, and an inventory project.
"
Cost Accounting,Technische Universität München (TUM),Specialization,1 - 3 Months,4.8,1.1k,Beginner,https://www.coursera.org/specializations/costaccounting,"44,541","['Management Accounting', 'Job Costing', 'Cost–Benefit Analysis', 'Cost Accounting', 'Profit and loss calculation']",[],"This class deals with the business law topics that appear on the CPA exam: Agency, Contracts, Debtor-Creditor Relationships, Government Regulation of Business, and Business Organizations. Students will gain an understanding of how these areas of the law affect businesses and their operations, with an eye on preparation for the business law portions of the REG section of the CPA exam. By the end of the class, students will be able to identify the legal principles that govern various business situations and apply those principles to an issue to determine the outcome when the law is applied to the facts of a scenario.
"
Cost and Economics in Pricing Strategy,University of Virginia,Course,1 - 4 Weeks,4.8,1.9k,Beginner,https://www.coursera.org/learn/uva-darden-bcg-pricing-strategy-cost-economics,"75,557","['Cost-Based Pricing', 'Channel and Direct-to-Consumer Pricing', 'Pricing Strategies', 'Price Discrimination', 'Price Elasticity Of Demand']",[],"Corporate strategy is the strategy a firm uses to compete across multiple businesses. Many small firms want to grow by entering new businesses. Many large firms already are in multiple businesses, e.g. a photo camera producer selling also sunglasses. 
We developed this course to help you make good corporate strategy decisions. Of the many decisions a firm has to make, corporate strategy decisions are among the most consequential. We will look at these key corporate strategy decisions:
- Diversification: How and which businesses should your firm enter?
- Divestiture: How and from which businesses should your firm exit?
- Corporate HQ: How should we organize corporate headquarters to create value across the different businesses?
"
Country Level Economics: Macroeconomic Variables and Markets,University of Illinois at Urbana-Champaign,Course,1 - 3 Months,4.6,746,Intermediate,https://www.coursera.org/learn/country-level-economics,"40,679","['Economics', 'Interest Rate', 'Supply Chain', 'Market (Economics)']",[],"The achievement of a balanced economic, social and environmental development - as expressed in the UN Agenda 2030 for Sustainable Development - is recognized as one of the major challenges humanity is facing today. What is less clear is whether and how organizations can generate business opportunities and value for their stakeholders while tackling such challenges. 
In this course, thought leaders in a wide variety of management and economics fields illustrate how to assess and seize the opportunities offered by these global emergencies. They will offer new ways to understand the purpose and the logic of success of the business enterprise in this new context, providing ideas and examples on how to manage the transition process to realize the value creation potential from corporate sustainability for all involved stakeholders.

Learning objectives
The course will allow you to:
- Understand What the macroeconomic and microeconomic consequences of both climate changes, poverty, hunger, gender or race discriminations, lack of communication between the State, Civil Societies, and businesses, etc are.
- Understand Why it is important for businesses to tackle sustainability issues in order to create more and better business opportunities;
- Learn How each individual, organization and system can start to analyze its behaviors and change towards more sustainable practices and models.
"
Crash Course on Python,Google,Course,1 - 3 Months,4.6,134,Beginner,https://www.coursera.org/learn/python-crash-course,"4,250","['Basic Python Data Structures', 'Fundamental Programming Concepts', 'Basic Python Syntax', 'Python Programming', 'Object-Oriented Programming (OOP)']","[""How to allocate the costs incurred to the company's products and the most important methods product costing."", 'How companies use cost information to calculate their profit or loss and assess their profitability.', 'How to use information from cost accounting to improve managerial decision-making.']","View the Specialization trailer: https://www.youtube.com/watch?v=XE5Rx91bdYwOpens in a new tab
Many corporate decisions need cost accounting information. When you know the costs of your products, you will make better pricing decisions and you can better choose which products to offer. When you know the costs of your departments, you can better detect inefficiencies and you can better incentivize your employees.
In this Specialization, you will learn the fundamentals of cost accounting. Three courses cover the basics of cost accounting. We will start with an introduction to product costing. How can you figure out the costs of your individual products? Next, we will discuss how to connect cost information with revenue information to calculate profits and profitability. Finally, we focus on how to use the information provided by cost accounting systems to optimize your business decisions.
We have created the courses of this Specialization for interdisciplinary young professionals seeking to develop cost accounting skills. At the same time, the courses can help students in management and business administration to repeat the content of their introductory cost accounting course.
Applied Learning Project
This specialization is structured along with lecture videos and uses readings as well as a series of quizzes and interactive learning elements to help learners gain an understanding of the basics of Cost Accounting. The specialization also applies practical learning elements like building an Excel spreadsheet to determine cost functions and includes numerous illustrative examples from a variety of industries. The coursework teaches learners to plan, control, monitor, and document cost information. From product and service costing, to profit and loss calculation, and leveraging of cost information as the basis for decision-making, the specialization provides a sound foundation to cost accounting.
"
Create High-Fidelity Designs and Prototypes in Figma,Google,Course,1 - 3 Months,4.8,649,Beginner,https://www.coursera.org/learn/high-fidelity-designs-prototype,"30,189","['User Experience (UX)', 'mockup', 'Figma', 'Prototype', 'User Experience Design (UXD)']","['How to apply knowledge of basic economics to make better pricing decisions', 'How to recognize opportunities for price discrimination and recommend strategies to maximize sales and profits', '  How to calculate three types of price elasticities to determine the impact of price on demand  ', 'How to analyze and apply different pricing models, including: cost-plus pricing, marginal cost-plus pricing, peak-load pricing, index-based pricing.']","How much should you charge for your products and services? Traditionally, businesses have answered this question based on the cost to produce or provide their goods and services. This course shows you the economic factors behind pricing based on cost and the pros and cons of a cost-based pricing approach. Developed at the Darden School of Business at the University of Virginia, and led by top-ranked Darden faculty and Boston Consulting Group global pricing experts, the course provides the practical and research-based models and methods you need to set prices that maximize your profits. 
By the end of this course, you’ll be able to:
--Apply knowledge of basic economics to make better pricing decisions
--Recognize opportunities for price discrimination—selling the same product at different prices to different buyers—and recommend strategies to maximize sales and profits
--Calculate three types of price elasticities to determine the impact of price on demand
--Analyze and apply different pricing models
  -Cost-plus pricing
  -Marginal cost-plus pricing
  -Peak-load pricing
  -Index-based pricing
--Evaluate the impact of channel intermediaries and customer lifetime value on pricing
"
Creating Business Value with Data and Looker,Google Cloud,Specialization,3 - 6 Months,4.4,935,Intermediate,https://www.coursera.org/specializations/creating-business-value-with-data-and-looker,"36,112",[],[],"This course discusses   how macroeconomic variables affect individuals’ personal, professional, and public activities and lays the foundation for the analysis of the mechanisms that drive macroeconomic variables. It starts by introducing the key macroeconomic variables and explaining how they are defined and measured to interpret macroeconomic data properly.
Then, the course offers a perspective for separating out various parts of the economy driven by different processes and for combining those components to develop a richer view of the whole. In particular, it applies this approach to the analysis of the relationship of the trade deficit with the budget deficit and private savings, offering insights about some key determinants of the balance of payments. The third and fourth modules focus on the analyses of the foreign currency and money markets to provide fundamental models of the interest rate and exchange rate determination. They also discuss how these variables interact with each other and with the macroeconomic conditions, particularly monetary policy, and the expectations about the future trends in the economy.  

You will be able to: 

• Systematically assess the national and international economic environment in which you live and work
• Analyze macroeconomic issues using key tools
• Be a more effective professional in your   line of activity.

This course is part of Gies College of Business’ suite of online programs, including the iMBA and iMSM. Learn more about admission into these programs and explore how your Coursera work can be leveraged if accepted into a degree program at https://degrees.giesbusiness.illinois.edu/idegrees/.
"
Creative Thinking: Techniques and Tools for Success,Imperial College London,Course,1 - 3 Months,4.8,34.3k,Beginner,https://www.coursera.org/learn/creative-thinking-techniques-and-tools-for-success,"956,993","['Creative Thinking', 'Problem Solving', 'Creativity', 'Brainstorming']","['What Python is and why Python is relevant to automation', 'How to write short Python scripts to perform automated actions', 'How to use the basic Python structures: strings, lists, and dictionaries', 'How to create your own Python objects']","This course is designed to teach you the foundations in order to write simple programs in Python using the most common structures. No previous exposure to programming is needed. By the end of this course, you will understand the benefits of programming in IT roles; understand basic Python syntax; be able to write simple programs using Python; figure out how the building blocks of programming fit together; and combine all of this knowledge to solve a complex programming problem. 
We'll start off by diving into the basics of writing a computer program. Along the way, you’ll get hands-on experience with programming concepts through interactive exercises and real-world examples. You’ll quickly start to see how computers can perform a multitude of tasks — you just have to write code that tells them what to do.
"
Creative Writing,Wesleyan University,Specialization,3 - 6 Months,4.8,3.4k,Beginner,https://www.coursera.org/specializations/creative-writing,"183,827","['Short Story Writing', 'Fiction Writing', 'Creativity', 'Copy Editing']","['Build mockups and high-fidelity prototypes in the design tool Figma.', 'Define and apply common visual design elements and principles.', 'Demonstrate how design systems can be used to organize, standardize, and enhance designs.', 'Understand the role of design critique sessions and feedback while iterating on designs. ']","Create High-Fidelity Designs and Prototypes in Figma is the fifth course in a certificate program that will equip you with the skills you need to apply to entry-level jobs in user experience (UX) design. In this course, you will follow step-by-step tutorials to learn how to create high-fidelity designs, called mockups, in Figma, a popular design tool. Then, you’ll turn those designs into an interactive prototype that works like a finished product. You’ll conduct research to collect feedback about your designs and make improvements. Finally, you’ll learn how to share your designs with development teams and highlight your work in your professional UX portfolio.
Current UX designers and researchers at Google will serve as your instructors, and you will complete hands-on activities that simulate real-world UX design scenarios. Learners who complete the seven courses in this certificate program should be equipped to apply for entry-level jobs as UX designers. 

By the end of this course, you will be able to:
   - Build mockups and high-fidelity prototypes in Figma.
   - Define and apply common visual design elements and principles.
   - Demonstrate how design systems can be used to organize, standardize, and enhance designs.
   - Understand the role of design critique sessions and feedback while iterating on designs. 
   - Learn how to hand off finished design projects to engineering teams. 
   - Complete mobile app designs to include in a professional UX portfolio. 

This course is suitable for beginner-level UX designers who have completed the previous four courses of the Google UX Design Certificate. Alternatively, learners who have not completed the previous courses should have a strong understanding of the design process, how to create low-fidelity designs on paper and in Figma, and how to conduct usability studies.
"
Creative Writing: The Craft of Plot,Wesleyan University,Course,1 - 4 Weeks,4.7,1k,Mixed,https://www.coursera.org/learn/craft-of-plot,"6,150","['Short Story Writing', 'Fiction Writing', 'Creativity', 'Copy Editing']","['Learn the skills needed to do data exploration and analysis in Looker to empower others to solve business needs.', 'Use dimensions, measures, filters, table calculations and pivots to analyze and visualize data.', 'Create and share near real-time data visualizations using Looks, dashboards, and boards.', 'Use the Looker Integrated Development Environment (IDE) and project version control to modify LookML projects and curate Explores that empower business users to leverage data in their everyday workflows']","This series of courses introduces data in the cloud and Looker to someone who would like to become a  Looker Developer.  It includes the background on how data is managed in the cloud and how it can be used to create value for an organization. You will then learn the skills you need as a Looker Developer to use the Looker Modeling Language (LookML) to empower your organization to conduct self-serve data exploration, analysis and visualization. 
Applied Learning Project
Course 2 includes hands-on labs with Looker to build skills in both data analysis and visualization.  In the first lab, learners work with dimensions, measures, filters, and pivots to query, select, and visualize data in Looker using Explores. In the second lab, learners use table calculations and offsets to instantaneously create new metrics from data using Explores. 
Course 3 includes hands-on labs focused on building LookML skills to curate data experiences for business users. In the first lab, learners practice creating dimensions and measures in LookML and learn about the different data types that LookML supports. In the second lab, learners create and persist derived tables in LookML to create new tables that do not yet exist in the underlying database.
"
Creativity and AI,"Parsons School of Design, The New School",Specialization,3 - 6 Months,4.7,4k,Intermediate,https://www.coursera.org/specializations/creativity-ai,"311,461","['Artificial Intelligence (AI)', 'Innovation Strategies', 'Design Thinking', 'Business Applications', 'Applied Creativity']","['Understand what creative thinking techniques are', 'Comprehend their importance in tackling global challenges as well as in everyday problem-solving scenarios', 'Select and apply the appropriate technique based on the opportunity to seize or the problem to tackle']","In today’s ever-growing and changing world, being able to think creatively and innovatively are essential skills. It can sometimes be challenging to step back and reflect in an environment which is fast paced or when you are required to assimilate large amounts of information. Making sense of or communicating new ideas in an innovative and engaging way, approaching problems from fresh angles, and producing novel solutions are all traits which are highly sought after by employers.
This course will equip you with a ‘tool-box’, introducing you to a selection of behaviours and techniques that will augment your innate creativity. Some of the tools are suited to use on your own and others work well for a group, enabling you to leverage the power of several minds.  You can pick and choose which of these tools or techniques suit your needs and interests, focusing on some or all of the selected approaches and in the order that fits best for you.

The practical approach of this course enables you to acquire an essential skill-set for generating ideas, with plenty of:
- Fun e-tivities and exercises;
- Practical lectures and tips;
- Video representations of the techniques in action.

By the end of this course you should be able to:
- Pick a type of brainstorming you think will be useful to apply to a challenge
- Use alphabet brainstorming in tackling a challenge
- Use grid brainstorming in tackling a challenge
- Use a morphological chart to synthesise a solution to a challenge
- Use the TRIZ contradiction matrix to identify recommended inventive principles
- Apply SCAMPER to a range of challenges

The greatest innovators aren’t necessarily the people who have the most original idea. Often, they are people- or teams- that have harnessed their creativity to develop a new perspective or more effective way of communicating an idea. You can train your imagination to seize opportunities, break away from routine and habit, and tap into your natural creativity.

Join this course and a community of practitioners in CREATIVITY!
"
